Program: dinput8.dll
Image base: 10000000

== Interesting symbols ==
1013f6a8 | Label | MQ2CurrentZoneType::vftable_meta_ptr
1013f6ac | Label | MQ2CurrentZoneType::vftable
1013f6c4 | Label | MQ2DeityType::vftable_meta_ptr
1013f6c8 | Label | MQ2DeityType::vftable
1013f6e0 | Label | MQ2ZoneType::vftable_meta_ptr
1013f6e4 | Label | MQ2ZoneType::vftable
1013f6fc | Label | MQ2FloatType::vftable_meta_ptr
1013f700 | Label | MQ2FloatType::vftable
1013f718 | Label | MQ2DynamicZoneType::vftable_meta_ptr
1013f71c | Label | MQ2DynamicZoneType::vftable
1013f734 | Label | MQ2RaidType::vftable_meta_ptr
1013f738 | Label | MQ2RaidType::vftable
1013f750 | Label | MQ2GroundType::vftable_meta_ptr
1013f754 | Label | MQ2GroundType::vftable
1013f76c | Label | MQ2CharacterType::vftable_meta_ptr
1013f770 | Label | MQ2CharacterType::vftable
1013f788 | Label | MQ2HeadingType::vftable_meta_ptr
1013f78c | Label | MQ2HeadingType::vftable
1013f7a4 | Label | MQ2WindowType::vftable_meta_ptr
1013f7a8 | Label | MQ2WindowType::vftable
1013f7c0 | Label | MQ2GroupMemberType::vftable_meta_ptr
1013f7c4 | Label | MQ2GroupMemberType::vftable
1013f7dc | Label | MQ2XTargetType::vftable_meta_ptr
1013f7e0 | Label | MQ2XTargetType::vftable
1013f7f8 | Label | MQ2MacroType::vftable_meta_ptr
1013f7fc | Label | MQ2MacroType::vftable
1013f814 | Label | MQ2ClassType::vftable_meta_ptr
1013f818 | Label | MQ2ClassType::vftable
1013fd44 | Label | s_/vardata_'%s'_failed,_MQ2Data_po_1013fd44
1013fe58 | Label | s_AddDetour(0x%X,0x%X,0x%X,0x%X)_1013fe58
1013fe78 | Label | s_Address_0x%x_already_detoured._1013fe78
1013fe98 | Label | s_Detour_failed._1013fe98
1013fea8 | Label | s_Detour_success._1013fea8
1013feb8 | Label | s_Illegal_AddDetourf_call_1013feb8
1013fed0 | Label | s_RemoveDetour(%X)_1013fed0
1013fee4 | Label | s_Detour_removed._1013fee4
1013fef4 | Label | s_Detour_not_found_in_RemoveDetour_1013fef4
1013ff18 | Label | s_RemoveOurDetours()_1013ff18
1013ff2c | Label | s_RemoveOurDetours()_--_Removing_%_1013ff2c
1013ff58 | Label | s_HookMemChecker_-_%satching_1013ff58
10140e1c | Label | s_Ketchata_10140e1c
10142ed8 | Label | s_Displays_PCs_10142ed8
1014360c | Label | s_%d_mapped_spawns_highlighted_1014360c
10143650 | Label | s_Map_spawns_regenerated_10143650
10143668 | Label | s_%d_mapped_spawns_hidden_10143668
101436a4 | Label | s_%d_previously_hidden_spawns_show_101436a4
10143938 | Label | s_InitializeParser()_10143938
1014394c | Label | s_ShutdownParser()_1014394c
10144344 | Label | s_Initializing_Spawn-related_Hooks_10144344
10144378 | Label | s_Shutting_Down_Spawn-related_Hook_10144378
10145fa8 | Label | s_List_of_matching_spawns_10145fa8
10146c44 | Label | s_Updating_WndNotification_target_'_10146c44
10146c6c | Label | s_Adding_WndNotification_target_'%_10146c6c
10146cb4 | Label | s_Initializing_MQ2_Windows_10146cb4
10146d04 | Label | s_Shutting_down_MQ2_Windows_10146d04
10147208 | Label | s_Could_not_send_notification_to_%_10147208
10147230 | Label | s_Invalid_notification_'%s'_10147230
1014759c | Label | s_Detoured_Map_WndNotification_1014759c
10147798 | Label | s_Second_Click_-_Main_Hook_10147798
101477b4 | Label | s_First_Click_-_Main_Hook_101477b4
1014eb80 | Label | IDirectInput8Hook::RTTI_Base_Class_Descriptor_at_(0,-1,0,64)
1014ebd4 | Label | IDirectInput8Hook::RTTI_Base_Class_Array
1014ebe4 | Label | IDirectInput8Hook::RTTI_Complete_Object_Locator
1014ebf8 | Label | IDirectInput8Hook::RTTI_Class_Hierarchy_Descriptor
1014ed48 | Label | IDirectInputDevice8Hook::RTTI_Class_Hierarchy_Descriptor
1014ed58 | Label | IDirectInputDevice8Hook::RTTI_Base_Class_Descriptor_at_(0,-1,0,64)
1014ed74 | Label | IDirectInputDevice8Hook::RTTI_Complete_Object_Locator
1014ed88 | Label | IDirectInputDevice8Hook::RTTI_Base_Class_Array
1014ef1c | Label | MQ2Internal::MQ2Type::RTTI_Base_Class_Array
1014f028 | Label | MQ2Internal::MQ2Type::RTTI_Complete_Object_Locator
1014f0bc | Label | MQ2TicksType::RTTI_Complete_Object_Locator
1014f3d8 | Label | MQ2TicksType::RTTI_Base_Class_Descriptor_at_(0,-1,0,64)
1014f3f4 | Label | MQ2Internal::MQ2Type::RTTI_Class_Hierarchy_Descriptor
1014f4a4 | Label | MQ2Internal::MQ2Type::RTTI_Base_Class_Descriptor_at_(0,-1,0,64)
1014f514 | Label | MQ2TicksType::RTTI_Class_Hierarchy_Descriptor
1014f5b0 | Label | MQ2TicksType::RTTI_Base_Class_Array
1014f6b0 | Label | MQ2IntType::RTTI_Base_Class_Descriptor_at_(0,-1,0,64)
1014f6cc | Label | MQ2EvolvingItemType::RTTI_Base_Class_Array
1014f6d8 | Label | MQ2BodyType::RTTI_Base_Class_Array
1014f6e4 | Label | MQ2FloatType::RTTI_Base_Class_Array
1014f6f0 | Label | MQ2DynamicZoneType::RTTI_Base_Class_Descriptor_at_(0,-1,0,64)
1014f70c | Label | MQ2StringType::RTTI_Base_Class_Array
1014f718 | Label | MQ2BodyType::RTTI_Complete_Object_Locator
1014f72c | Label | MQ2FellowshipType::RTTI_Base_Class_Descriptor_at_(0,-1,0,64)
1014f748 | Label | MQ2FellowshipMemberType::RTTI_Base_Class_Array
1014f754 | Label | MQ2FellowshipType::RTTI_Complete_Object_Locator
1014f768 | Label | MQ2DeityType::RTTI_Base_Class_Array
1014f774 | Label | MQ2CharacterType::RTTI_Complete_Object_Locator
1014f788 | Label | MQ2CorpseType::RTTI_Base_Class_Array
1014f794 | Label | MQ2ItemType::RTTI_Class_Hierarchy_Descriptor
1014f7a4 | Label | MQ2MerchantType::RTTI_Base_Class_Descriptor_at_(0,-1,0,64)
1014f7c0 | Label | MQ2RaidType::RTTI_Class_Hierarchy_Descriptor
1014f7d0 | Label | MQ2ItemType::RTTI_Base_Class_Descriptor_at_(0,-1,0,64)
1014f7ec | Label | MQ2RaidMemberType::RTTI_Class_Hierarchy_Descriptor
1014f7fc | Label | MQ2HeadingType::RTTI_Base_Class_Array
1014f808 | Label | MQ2WindowType::RTTI_Complete_Object_Locator
1014f81c | Label | MQ2RaceType::RTTI_Base_Class_Descriptor_at_(0,-1,0,64)
1014f838 | Label | MQ2FriendsType::RTTI_Base_Class_Array
1014f844 | Label | MQ2ZoneType::RTTI_Base_Class_Array
1014f850 | Label | MQ2MacroType::RTTI_Base_Class_Array
1014f85c | Label | MQ2SpawnType::RTTI_Base_Class_Array
1014f868 | Label | MQ2TimeType::RTTI_Base_Class_Array
1014f874 | Label | MQ2TimerType::RTTI_Base_Class_Array
1014f880 | Label | MQ2TimeType::RTTI_Complete_Object_Locator
1014f894 | Label | MQ2ArrayType::RTTI_Base_Class_Descriptor_at_(0,-1,0,64)
1014f8b0 | Label | MQ2SkillType::RTTI_Class_Hierarchy_Descriptor
1014f8c0 | Label | MQ2TypeType::RTTI_Class_Hierarchy_Descriptor
1014f8d0 | Label | MQ2CharacterType::RTTI_Base_Class_Descriptor_at_(0,-1,0,64)
1014f8ec | Label | MQ2ItemType::RTTI_Base_Class_Array
1014f8f8 | Label | MQ2FellowshipType::RTTI_Class_Hierarchy_Descriptor
1014f908 | Label | MQ2InvSlotType::RTTI_Class_Hierarchy_Descriptor
1014f918 | Label | MQ2ArgbType::RTTI_Class_Hierarchy_Descriptor
1014f928 | Label | MQ2GroupMemberType::RTTI_Class_Hierarchy_Descriptor
1014f938 | Label | MQ2SwitchType::RTTI_Base_Class_Descriptor_at_(0,-1,0,64)
1014f954 | Label | MQ2SpellType::RTTI_Base_Class_Array
1014f960 | Label | MQ2GroupMemberType::RTTI_Base_Class_Descriptor_at_(0,-1,0,64)
1014f97c | Label | MQ2WindowType::RTTI_Base_Class_Array
1014f988 | Label | MQ2GroupType::RTTI_Base_Class_Array
1014f994 | Label | MQ2GroupType::RTTI_Complete_Object_Locator
1014f9a8 | Label | MQ2RaceType::RTTI_Complete_Object_Locator
1014f9bc | Label | MQ2MacroType::RTTI_Complete_Object_Locator
1014f9d0 | Label | MQ2RaidMemberType::RTTI_Base_Class_Array
1014f9dc | Label | MQ2BoolType::RTTI_Complete_Object_Locator
1014f9f0 | Label | MQ2XTargetType::RTTI_Class_Hierarchy_Descriptor
1014fa00 | Label | MQ2TargetType::RTTI_Class_Hierarchy_Descriptor
1014fa10 | Label | MQ2MacroType::RTTI_Base_Class_Descriptor_at_(0,-1,0,64)
1014fa2c | Label | MQ2CorpseType::RTTI_Class_Hierarchy_Descriptor
1014fa3c | Label | MQ2ByteType::RTTI_Class_Hierarchy_Descriptor
1014fa4c | Label | MQ2GroupMemberType::RTTI_Complete_Object_Locator
1014fa60 | Label | MQ2MacroType::RTTI_Class_Hierarchy_Descriptor
1014fa70 | Label | MQ2SpawnType::RTTI_Base_Class_Descriptor_at_(0,-1,0,64)
1014fa8c | Label | MQ2MacroQuestType::RTTI_Base_Class_Array
1014fa98 | Label | MQ2BuffType::RTTI_Class_Hierarchy_Descriptor
1014faa8 | Label | MQ2IntType::RTTI_Base_Class_Array
1014fab4 | Label | MQ2BodyType::RTTI_Base_Class_Descriptor_at_(0,-1,0,64)
1014fad0 | Label | MQ2HeadingType::RTTI_Class_Hierarchy_Descriptor
